group,game,team,goals
"A",1,1,3
"A",1,2,1
"A",2,3,1
"A",2,4,0
"A",3,1,0
"A",3,3,0
"A",4,2,4
"A",4,4,0
"A",5,1,NA
"A",5,4,NA
"A",6,2,NA
"A",6,3,NA
"B",1,1,1
"B",1,2,5
"B",2,3,3
"B",2,4,1
"B",3,1,0
"B",3,3,2
"B",4,2,3
"B",4,4,2
"B",5,1,NA
"B",5,4,NA
"B",6,2,NA
"B",6,3,NA
"C",1,1,3
"C",1,2,0
"C",2,3,2
"C",2,4,1
"C",3,1,2
"C",3,3,1
"C",4,2,0
"C",4,4,0
"C",5,1,NA
"C",5,4,NA
"C",6,2,NA
"C",6,3,NA
"D",1,1,1
"D",1,2,3
"D",2,3,1
"D",2,4,2
"D",3,1,2
"D",3,3,1
"D",4,2,1
"D",4,4,0
"D",5,1,NA
"D",5,4,NA
"D",6,2,NA
"D",6,3,NA
"E",1,1,2
"E",1,2,1
"E",2,3,3
"E",2,4,0
"E",3,1,2
"E",3,3,5
"E",4,2,2
"E",4,4,1
"E",5,1,NA
"E",5,4,NA
"E",6,2,NA
"E",6,3,NA
"F",1,1,2
"F",1,2,1
"F",2,3,0
"F",2,4,0
"F",3,1,1
"F",3,3,0
"F",4,2,0
"F",4,4,1
"F",5,1,NA
"F",5,4,NA
"F",6,2,NA
"F",6,3,NA
"G",1,1,4
"G",1,2,0
"G",2,3,1
"G",2,4,2
"G",3,1,2
"G",3,3,2
"G",4,2,2
"G",4,4,2
"G",5,1,NA
"G",5,4,NA
"G",6,2,NA
"G",6,3,NA
"H",1,1,2
"H",1,2,1
"H",2,3,1
"H",2,4,1
"H",3,1,1
"H",3,3,0
"H",4,2,4
"H",4,4,2
"H",5,1,NA
"H",5,4,NA
"H",6,2,NA
"H",6,3,NA
