group,team,teamname
"A",1,"Brazil"
"A",2,"Croatia"
"A",3,"Mexico"
"A",4,"Cameroon"
"B",1,"Spain"
"B",2,"Netherlands"
"B",3,"Chile"
"B",4,"Australia"
"C",1,"Colombia"
"C",2,"Greece"
"C",3,"Ivory Coast"
"C",4,"Japan"
"D",1,"Uruguay"
"D",2,"Costa Rica"
"D",3,"England"
"D",4,"Italy"
"E",1,"Switzerland"
"E",2,"Ecuador"
"E",3,"France"
"E",4,"Honduras"
"F",1,"Argentina"
"F",2,"Bosnia"
"F",3,"Iran"
"F",4,"Nigeria"
"G",1,"Germany"
"G",2,"Portugal"
"G",3,"Ghana"
"G",4,"USA"
"H",1,"Belgium"
"H",2,"Algeria"
"H",3,"Russia"
"H",4,"S. Korea"
